FAVC,FCVC,NCP,CAEC,CH2O,NObeyesdad
yes,1.031149,3,Sometimes,1.963628,Insufficient_Weight
yes,1.592183,3.535016,Sometimes,1.086391,Insufficient_Weight
yes,1.21498,1.717608,Sometimes,1.179942,Insufficient_Weight
yes,1.522001,3,Sometimes,1.98126,Insufficient_Weight
yes,2.703436,2.884479,Sometimes,1.439962,Insufficient_Weight
yes,2.362918,4,Sometimes,2.358172,Insufficient_Weight
yes,3,3.626815,Sometimes,2,Insufficient_Weight
yes,2.14084,4,Sometimes,2.931438,Insufficient_Weight
yes,3,4,Sometimes,2,Insufficient_Weight
yes,2.5596,4,Sometimes,2,Insufficient_Weight
yes,2.336044,4,Sometimes,2,Insufficient_Weight
yes,2,3,Sometimes,2,Insufficient_Weight
yes,2,3,Sometimes,2,Insufficient_Weight
yes,1.813234,3,Sometimes,1.274815,Insufficient_Weight
no,2.724285,3,Frequently,1,Insufficient_Weight
no,3,3,Frequently,1.28246,Insufficient_Weight
no,3,3,Frequently,2.875583,Insufficient_Weight
yes,3,1,Frequently,1.387531,Insufficient_Weight
yes,2.71897,1.473088,Frequently,1.164644,Insufficient_Weight
yes,3,1,Frequently,1.848703,Insufficient_Weight
yes,1.133844,3,Sometimes,1.325326,Insufficient_Weight
yes,2,3.16645,Sometimes,2.278578,Insufficient_Weight
yes,1.757466,3,Sometimes,1.153559,Insufficient_Weight
yes,2,3.494849,Sometimes,2.976672,Insufficient_Weight
yes,2.979383,3,Frequently,2.975887,Insufficient_Weight
no,3,2.99321,Frequently,2.702783,Insufficient_Weight
no,2.204914,2.127797,Frequently,2.120292,Insufficient_Weight
no,3,3,Frequently,2.949419,Insufficient_Weight
yes,2.927218,1,Frequently,1,Insufficient_Weight
yes,2.88853,1,Frequently,1,Insufficient_Weight
no,2.890535,3.90779,Frequently,1.109115,Insufficient_Weight
yes,3,3.699594,Sometimes,2.825629,Insufficient_Weight
yes,3,3.179995,Frequently,1.910378,Insufficient_Weight
yes,2,1.075553,Sometimes,1,Insufficient_Weight
no,2.530066,3,Sometimes,1.965237,Insufficient_Weight
yes,2.241606,3,Frequently,1.846626,Insufficient_Weight
yes,1.003566,3.238258,Frequently,1.014634,Insufficient_Weight
yes,2.652779,3.804944,Frequently,1.60114,Insufficient_Weight
yes,2,1.630846,Sometimes,2.975528,Insufficient_Weight
yes,2.897899,3,Sometimes,1.835545,Insufficient_Weight
yes,2.483979,3.762778,Sometimes,2,Insufficient_Weight
yes,2.945967,3,Sometimes,2.953192,Insufficient_Weight
yes,2,4,Sometimes,2.28525,Insufficient_Weight
yes,2.478891,3.371832,Frequently,2.004126,Insufficient_Weight
yes,2.784464,4,Sometimes,1,Insufficient_Weight
yes,1.005578,4,Frequently,1,Insufficient_Weight
no,2.938031,2.705445,Frequently,1.333807,Insufficient_Weight
yes,2.842102,3.34175,Sometimes,2,Insufficient_Weight
yes,2,3,Frequently,2.685842,Insufficient_Weight
yes,2,3,Sometimes,2,Insufficient_Weight
yes,1.889199,2.217651,Sometimes,2.013605,Insufficient_Weight
yes,3,4,Sometimes,2,Insufficient_Weight
yes,2.943749,4,Sometimes,2,Insufficient_Weight
yes,2.33998,3,Sometimes,2,Insufficient_Weight
no,3,2.893778,Frequently,1,Insufficient_Weight
yes,3,1,Frequently,1.954889,Insufficient_Weight
yes,1.950742,3,Sometimes,1.751723,Insufficient_Weight
yes,2.277436,3.502604,Sometimes,2.891713,Insufficient_Weight
yes,2,4,Sometimes,2.369627,Insufficient_Weight
yes,2.371338,3.998766,Frequently,2.263466,Insufficient_Weight
yes,2.984425,3,Frequently,2.044694,Insufficient_Weight
yes,2.977018,3.193671,Frequently,2.482933,Insufficient_Weight
yes,2.663421,3,Frequently,1.04111,Insufficient_Weight
no,3,1.69608,Frequently,2.550307,Insufficient_Weight
no,2.753752,2.812377,Frequently,2.346647,Insufficient_Weight
no,3,1.612747,Frequently,2.566629,Insufficient_Weight
no,2.318355,1.082304,Frequently,1.220365,Insufficient_Weight
no,2.594653,1.882158,Frequently,1.916812,Insufficient_Weight
no,2.886157,2.326233,Frequently,2.306821,Insufficient_Weight
yes,3,3,Sometimes,2.924594,Insufficient_Weight
yes,3,1.989398,Sometimes,2.241607,Insufficient_Weight
yes,3,1.735493,Sometimes,2.318736,Insufficient_Weight
yes,2.967853,1,Frequently,1.131185,Insufficient_Weight
yes,3,1,Frequently,1,Insufficient_Weight
no,3,2.974568,Frequently,1.145761,Insufficient_Weight
yes,2.619835,1,Frequently,1.198883,Insufficient_Weight
yes,3,1,Frequently,1.185062,Insufficient_Weight
yes,3,1,Frequently,1,Insufficient_Weight
yes,3,3.715118,Frequently,1.774576,Insufficient_Weight
yes,3,3.489918,Frequently,1.326694,Insufficient_Weight
yes,1.053534,3.378859,Sometimes,1,Insufficient_Weight
yes,3,3.263201,Sometimes,2.233274,Insufficient_Weight
yes,3,3.994588,Sometimes,2.548527,Insufficient_Weight
yes,2.530233,3.24934,Sometimes,2.387945,Insufficient_Weight
yes,3,3,Sometimes,2,Insufficient_Weight
yes,2.8813,3.087544,Frequently,1.24818,Insufficient_Weight
yes,2.824559,3,Sometimes,2,Insufficient_Weight
yes,2.762325,1.163666,Sometimes,1.30491,Insufficient_Weight
yes,2.070964,1,Sometimes,1.676975,Insufficient_Weight
yes,2.68601,1,Sometimes,1.310074,Insufficient_Weight
yes,2.794197,3.409363,Sometimes,1.543021,Insufficient_Weight
no,2.720701,3,Sometimes,2,Insufficient_Weight
no,2.880792,3.281391,Sometimes,1.960131,Insufficient_Weight
yes,2.674431,3,Frequently,2.453384,Insufficient_Weight
yes,2,3.98525,Sometimes,2.654078,Insufficient_Weight
yes,2.55996,3,Frequently,1.990788,Insufficient_Weight
yes,1.212908,3.207071,Sometimes,1.029703,Insufficient_Weight
yes,1.140615,3.471536,Sometimes,1,Insufficient_Weight
yes,2.562409,3.488342,Sometimes,1.67062,Insufficient_Weight
yes,2.004146,3.443456,Frequently,2.020764,Insufficient_Weight
yes,2.690754,3.03779,Frequently,2.212296,Insufficient_Weight
yes,3,3.642802,Frequently,1.995177,Insufficient_Weight
yes,2.051283,2.645858,Sometimes,2.35752,Insufficient_Weight
yes,2.19005,3.420618,Sometimes,1.356405,Insufficient_Weight
yes,2.21498,2.64155,Sometimes,2.121251,Insufficient_Weight
yes,2.91548,3,Sometimes,1.777486,Insufficient_Weight
yes,2.708965,3,Sometimes,1.873004,Insufficient_Weight
yes,2.853513,3,Sometimes,2,Insufficient_Weight
yes,2.580872,3.887906,Sometimes,2,Insufficient_Weight
yes,2.508835,3.435905,Sometimes,2.076933,Insufficient_Weight
yes,2,3.747163,Sometimes,2.575535,Insufficient_Weight
yes,2.896562,2.625475,Sometimes,2.839558,Insufficient_Weight
yes,2.911877,3.098399,Sometimes,2.196405,Insufficient_Weight
yes,2.910733,3.12544,Sometimes,2.204263,Insufficient_Weight
yes,2.966126,3.96981,Sometimes,2,Insufficient_Weight
yes,2.613249,3.712183,Sometimes,2,Insufficient_Weight
yes,2,4,Sometimes,2.542415,Insufficient_Weight
yes,3,3,Frequently,2.00357,Insufficient_Weight
yes,2.627031,3.832911,Sometimes,2.993448,Insufficient_Weight
yes,3,3,Frequently,2.009796,Insufficient_Weight
yes,2.919751,3.576103,Sometimes,1.949308,Insufficient_Weight
yes,2.494451,3.56544,Sometimes,1.491268,Insufficient_Weight
yes,1.69427,3.266644,Sometimes,1.095417,Insufficient_Weight
yes,1.601236,3.433908,Sometimes,1.055019,Insufficient_Weight
yes,1.204855,3.531038,Sometimes,1.134658,Insufficient_Weight
yes,1.052699,3.998618,Frequently,1,Insufficient_Weight
no,2.910345,3,Frequently,1,Insufficient_Weight
yes,2.866383,1.226342,Frequently,1,Insufficient_Weight
yes,2.913486,1.060796,Frequently,1.596212,Insufficient_Weight
yes,2.432886,3,Sometimes,2,Insufficient_Weight
yes,2.883745,3.595761,Sometimes,2,Insufficient_Weight
yes,2.707666,3.737914,Sometimes,2.026547,Insufficient_Weight
yes,2.919584,3.697831,Frequently,1.147121,Insufficient_Weight
yes,2.969205,3.21043,Frequently,2.765876,Insufficient_Weight
yes,2.486189,3,Frequently,1.064378,Insufficient_Weight
yes,1.642241,3.45259,Sometimes,1.099231,Insufficient_Weight
yes,1.567101,3,Sometimes,1.994139,Insufficient_Weight
yes,1.036414,3.205587,Sometimes,1.745959,Insufficient_Weight
yes,1.649974,1.513835,Sometimes,1.549974,Insufficient_Weight
yes,1.118436,3,Sometimes,1.997744,Insufficient_Weight
yes,2.673638,2.779379,Frequently,1.249074,Insufficient_Weight
yes,2.120185,4,Sometimes,2.582165,Insufficient_Weight
yes,3,3.732126,Sometimes,2,Insufficient_Weight
yes,2.34222,3.937099,Sometimes,2.311791,Insufficient_Weight
yes,2.86099,4,Sometimes,2,Insufficient_Weight
yes,2.559571,3.047959,Sometimes,2,Insufficient_Weight
yes,2.424977,4,Sometimes,2,Insufficient_Weight
yes,1.786841,3,Sometimes,1.546856,Insufficient_Weight
yes,1.303878,3,Sometimes,1.755497,Insufficient_Weight
yes,1.889883,3,Sometimes,1.959531,Insufficient_Weight
no,2.984004,3,Frequently,1.015249,Insufficient_Weight
no,3,2.975362,Frequently,1.246822,Insufficient_Weight
no,3,3,Frequently,2.487919,Insufficient_Weight
yes,3,1,Frequently,1.49681,Insufficient_Weight
yes,2.749268,1.394539,Frequently,1.322048,Insufficient_Weight
yes,3,1,Frequently,1.764055,Insufficient_Weight
yes,1.202075,3,Sometimes,1.927976,Insufficient_Weight
yes,2,3.131032,Sometimes,2.072194,Insufficient_Weight
yes,1.871213,3,Sometimes,1.283738,Insufficient_Weight
yes,2.341133,1.578521,Sometimes,2,Overweight_Level_I
yes,2,1,no,2.115967,Overweight_Level_I
yes,1.450218,3.985442,Sometimes,2.147746,Overweight_Level_I
yes,2.204914,3.623364,Sometimes,1.815293,Overweight_Level_I
yes,1.206276,3,no,2.406541,Overweight_Level_I
yes,2,3,Sometimes,1.015677,Overweight_Level_I
yes,2.81646,3.36313,Sometimes,2.722063,Overweight_Level_I
yes,2,3,Sometimes,1.345298,Overweight_Level_I
yes,2,3,Sometimes,1.825629,Overweight_Level_I
yes,2,1.73762,Sometimes,2.207978,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
no,3,1.146052,Sometimes,1.074048,Overweight_Level_I
yes,1.758394,3.981997,Sometimes,2.174248,Overweight_Level_I
yes,2,1.9154,no,3,Overweight_Level_I
yes,2,2.105616,Sometimes,1.456581,Overweight_Level_I
yes,2.392665,3,Sometimes,2.951056,Overweight_Level_I
yes,2.577427,1,Sometimes,2,Overweight_Level_I
yes,2,1,no,2.803311,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2.052152,3,Sometimes,1.972074,Overweight_Level_I
yes,3,1,Sometimes,2,Overweight_Level_I
yes,2.954996,3.714833,Sometimes,2.430918,Overweight_Level_I
yes,3,3,Sometimes,2.229171,Overweight_Level_I
yes,2,3,Sometimes,2.843777,Overweight_Level_I
yes,2,3.691226,no,3,Overweight_Level_I
yes,2,3,Frequently,2,Overweight_Level_I
yes,2.555401,3.292386,Sometimes,3,Overweight_Level_I
yes,2.108711,3,Sometimes,2.746197,Overweight_Level_I
yes,2.915279,1.104642,Sometimes,1.530046,Overweight_Level_I
yes,1.570089,3,Sometimes,2,Overweight_Level_I
yes,2,3,Sometimes,1.636326,Overweight_Level_I
yes,2,3,Sometimes,1.701835,Overweight_Level_I
yes,1.94313,3.559841,Sometimes,2.367996,Overweight_Level_I
yes,2.714447,3,Sometimes,3,Overweight_Level_I
yes,2,3,Sometimes,2.292073,Overweight_Level_I
yes,2.903545,3,Sometimes,1.549931,Overweight_Level_I
yes,2,3,Sometimes,1,Overweight_Level_I
yes,3,3.654061,Sometimes,1.229915,Overweight_Level_I
yes,1.75375,1.296156,Sometimes,2,Overweight_Level_I
yes,2.543563,1,Sometimes,2,Overweight_Level_I
yes,2.39728,2.656588,Sometimes,2.061062,Overweight_Level_I
no,3,2.809716,Sometimes,1.591425,Overweight_Level_I
yes,2,2.77684,Sometimes,1.278231,Overweight_Level_I
yes,2.37464,3,Sometimes,2,Overweight_Level_I
yes,2.278644,1,Sometimes,2.628985,Overweight_Level_I
yes,1.620845,1,Sometimes,2,Overweight_Level_I
yes,2,1.999014,Sometimes,2.326165,Overweight_Level_I
yes,2.823179,2.644692,Sometimes,1.226764,Overweight_Level_I
yes,3,2.449723,Sometimes,2,Overweight_Level_I
yes,3,3,Sometimes,1.174611,Overweight_Level_I
yes,2,3,Sometimes,1,Overweight_Level_I
yes,2,2.794156,Sometimes,2.377362,Overweight_Level_I
yes,2.061952,4,Sometimes,2.426465,Overweight_Level_I
yes,2,1.146794,Sometimes,3,Overweight_Level_I
yes,2,1.131695,Sometimes,1.344539,Overweight_Level_I
yes,2.838969,3,Sometimes,2.425927,Overweight_Level_I
yes,2.568063,3,Sometimes,1.817983,Overweight_Level_I
yes,3,3,Sometimes,1.205633,Overweight_Level_I
yes,2.652958,2.488189,Sometimes,2,Overweight_Level_I
yes,2,1,no,2.00876,Overweight_Level_I
yes,2,1,no,2.069184,Overweight_Level_I
yes,1.27785,3.999591,Sometimes,2.495944,Overweight_Level_I
yes,2,3,Sometimes,1.957871,Overweight_Level_I
yes,1.729824,3.612941,no,2.043703,Overweight_Level_I
yes,1.452524,3.950553,no,2.109858,Overweight_Level_I
yes,2,3,Sometimes,2.177386,Overweight_Level_I
yes,2,3,Sometimes,2.168651,Overweight_Level_I
yes,3,2.951837,Sometimes,2.112032,Overweight_Level_I
yes,2,2.799979,Sometimes,1.081333,Overweight_Level_I
yes,2,3,Sometimes,1.005727,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2,2.228113,Sometimes,2.045004,Overweight_Level_I
yes,2.303367,3.042774,Sometimes,1.277636,Overweight_Level_I
yes,2.948425,1.198643,Sometimes,1,Overweight_Level_I
yes,2.291846,1.555557,Sometimes,1,Overweight_Level_I
yes,1.906194,3.987707,Sometimes,2.597746,Overweight_Level_I
yes,1.834155,3.995957,Sometimes,2.632871,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2.048582,1.047197,Sometimes,2,Overweight_Level_I
yes,2.948248,3,Sometimes,2.429911,Overweight_Level_I
yes,2.869436,3,Sometimes,2.972426,Overweight_Level_I
yes,2.293705,1,Sometimes,2,Overweight_Level_I
yes,2.510583,1,Sometimes,2,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2.366949,3,Sometimes,1.926577,Overweight_Level_I
yes,2.615788,3,Sometimes,1.771781,Overweight_Level_I
yes,3,1,Sometimes,2,Overweight_Level_I
yes,2.217267,1.193589,Sometimes,2,Overweight_Level_I
yes,3,3,Sometimes,2.759246,Overweight_Level_I
yes,2.801514,3,Sometimes,2.734782,Overweight_Level_I
yes,2.188722,3,Sometimes,2.721356,Overweight_Level_I
yes,2.971351,3.390143,Sometimes,2.133767,Overweight_Level_I
yes,2.086093,3.546352,Sometimes,2.081121,Overweight_Level_I
yes,1.901611,3.266501,no,2.926995,Overweight_Level_I
yes,1.977298,3.554974,no,2.217957,Overweight_Level_I
yes,2.446872,2.372311,Sometimes,1.81031,Overweight_Level_I
yes,2.839048,2.10601,Sometimes,1.639202,Overweight_Level_I
yes,2.21232,4,Sometimes,2.374044,Overweight_Level_I
yes,2.427689,3.715306,Sometimes,2.876096,Overweight_Level_I
yes,2.357496,3.376717,Sometimes,2.184843,Overweight_Level_I
yes,3,1,Sometimes,2,Overweight_Level_I
yes,3,1,Sometimes,2,Overweight_Level_I
yes,1.078529,1.211606,Sometimes,2.568063,Overweight_Level_I
yes,2,3,Sometimes,1.333707,Overweight_Level_I
yes,2,3,Sometimes,1.164062,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,1.064162,3.98955,Sometimes,2.028426,Overweight_Level_I
yes,1.993101,3.171082,Sometimes,2.364498,Overweight_Level_I
yes,2.620963,3,Sometimes,2.824559,Overweight_Level_I
yes,2.95118,3,Sometimes,3,Overweight_Level_I
yes,2.021446,3,Sometimes,1.077917,Overweight_Level_I
yes,2,3,Sometimes,1,Overweight_Level_I
yes,2.000466,3,Sometimes,1.131448,Overweight_Level_I
yes,2.5621,3.105007,Sometimes,1.172427,Overweight_Level_I
yes,2,3,Sometimes,1.040342,Overweight_Level_I
yes,2,3,Sometimes,1.274718,Overweight_Level_I
yes,2.96008,1,Sometimes,2,Overweight_Level_I
yes,2.53915,1.590982,Sometimes,1.977801,Overweight_Level_I
yes,2.244142,1.704828,Sometimes,1,Overweight_Level_I
no,3,2.725012,Sometimes,1.62244,Overweight_Level_I
yes,2,2.372339,Sometimes,1.675733,Overweight_Level_I
yes,2,1.097312,Sometimes,1.328835,Overweight_Level_I
yes,2.253371,3,Sometimes,2.756916,Overweight_Level_I
yes,2.851664,1,Sometimes,2,Overweight_Level_I
yes,1.31415,1.068196,Sometimes,1.364957,Overweight_Level_I
yes,1.321028,1,Sometimes,2,Overweight_Level_I
yes,2,1.411685,Sometimes,1.859089,Overweight_Level_I
yes,2.253998,2.752318,Sometimes,2.328331,Overweight_Level_I
yes,2.778079,3,Sometimes,1.696691,Overweight_Level_I
yes,2.838037,2.737571,Sometimes,1.144467,Overweight_Level_I
yes,3,2.973504,Sometimes,2,Overweight_Level_I
yes,2.814453,2.608055,Sometimes,1.85916,Overweight_Level_I
yes,2.013782,2.625942,Sometimes,1.045586,Overweight_Level_I
yes,2,1.411808,Sometimes,2.651194,Overweight_Level_I
yes,2,1.095223,Sometimes,2.474132,Overweight_Level_I
yes,2.459976,3.30846,Sometimes,2.078011,Overweight_Level_I
yes,2.643183,3.821461,Sometimes,2.397124,Overweight_Level_I
yes,2,3,Sometimes,2.813234,Overweight_Level_I
yes,2,2.658639,Sometimes,2.781628,Overweight_Level_I
yes,2.22399,1,Sometimes,2.20312,Overweight_Level_I
yes,2.104105,3,Sometimes,1.871033,Overweight_Level_I
yes,1.972545,2.339614,Sometimes,1.711074,Overweight_Level_I
yes,2.286481,1.713762,Sometimes,1.797161,Overweight_Level_I
yes,2.971588,2.743277,Sometimes,1.394883,Overweight_Level_I
yes,2,1,no,2.881677,Overweight_Level_I
yes,2,1,no,2.795651,Overweight_Level_I
yes,2.872121,3.051804,Sometimes,2.111913,Overweight_Level_I
yes,2.109162,3.245148,Sometimes,1.971774,Overweight_Level_I
yes,2.178889,3.563744,Sometimes,1.853991,Overweight_Level_I
yes,1.142468,3,no,2.197732,Overweight_Level_I
yes,2.047069,3.829101,Sometimes,1.641022,Overweight_Level_I
yes,2.843709,3.058539,Sometimes,1.130079,Overweight_Level_I
yes,2.416044,3.196043,Sometimes,1.352649,Overweight_Level_I
yes,2,3,Sometimes,1.968011,Overweight_Level_I
yes,2.146598,3,Sometimes,2.100112,Overweight_Level_I
yes,2,3,Sometimes,1.362642,Overweight_Level_I
yes,2,1.391778,Sometimes,2.64548,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,3,1.13715,Sometimes,1.000695,Overweight_Level_I
yes,1.766849,3.322522,Sometimes,2.616285,Overweight_Level_I
yes,1.188089,3.269088,Sometimes,2.039535,Overweight_Level_I
yes,1.910176,2.938135,no,2.943097,Overweight_Level_I
yes,2,1.259628,no,3,Overweight_Level_I
yes,2.956671,2.965494,Sometimes,2.868132,Overweight_Level_I
yes,2.002796,3,Sometimes,2.526775,Overweight_Level_I
yes,2.288604,2.845307,Sometimes,2.638164,Overweight_Level_I
yes,2.277077,1,Sometimes,2,Overweight_Level_I
yes,2.138334,1,Sometimes,2,Overweight_Level_I
yes,2,1,no,2.976177,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2,1,no,3,Overweight_Level_I
yes,2.029634,3,Sometimes,1.827515,Overweight_Level_I
yes,2.048216,3,Sometimes,1.305816,Overweight_Level_I
yes,2.8557,1,Sometimes,2.663861,Overweight_Level_I
yes,2.995599,3.095663,Sometimes,2.568157,Overweight_Level_I
yes,2.987148,3.483449,Sometimes,2.359246,Overweight_Level_I
yes,2,3,Sometimes,2.763573,Overweight_Level_I
yes,2,3.156309,no,3,Overweight_Level_I
yes,1.887951,3.728377,no,2.682107,Overweight_Level_I
yes,2.786008,3,Sometimes,2.526193,Overweight_Level_I
yes,2,3,Sometimes,2,Overweight_Level_I
yes,2.342323,3.60885,Sometimes,2.878866,Overweight_Level_I
yes,1.874935,3.370362,Sometimes,2.558773,Overweight_Level_I
yes,2.213135,3,Sometimes,2.046766,Overweight_Level_I
yes,2.273548,2.39007,Sometimes,1.648404,Overweight_Level_I
yes,2.780699,1.101404,Sometimes,1.579207,Overweight_Level_I
yes,1.687569,2.756405,Sometimes,2.079131,Overweight_Level_I
yes,2,3,Sometimes,1.081597,Overweight_Level_I
yes,2,3,Sometimes,1.833055,Overweight_Level_I
yes,2,3,Sometimes,1.281683,Overweight_Level_I
yes,1.989905,3.054899,Sometimes,2.080968,Overweight_Level_I
yes,1.947405,3.118013,Sometimes,2.136159,Overweight_Level_I
yes,2.162519,3,Sometimes,2.152666,Overweight_Level_I
yes,2.923916,3.335876,Sometimes,2.372444,Overweight_Level_I
yes,2.99448,3,Sometimes,1.706568,Overweight_Level_I
yes,2,3,Sometimes,1,Overweight_Level_I
yes,3,3.205009,Sometimes,2.643468,Overweight_Level_I
yes,2.507841,3.648194,Sometimes,1.279756,Overweight_Level_I
yes,1.836554,1.865238,Sometimes,2,Overweight_Level_I
yes,1.773265,2.118153,Sometimes,1.075239,Overweight_Level_I
yes,2.388168,1,Sometimes,1.438018,Overweight_Level_I
yes,2.286146,2.961113,Sometimes,2.657303,Overweight_Level_I
yes,3,2.400943,Sometimes,1.509734,Overweight_Level_I
yes,2,2.870005,Sometimes,1.15031,Overweight_Level_I
yes,2.487167,3,Sometimes,2.396977,Overweight_Level_I
yes,2.185938,1,no,2.81353,Overweight_Level_I
yes,2.206399,1,Sometimes,2,Overweight_Level_I
yes,1.952987,1,Sometimes,1.334856,Overweight_Level_I
yes,2,1.030416,Sometimes,2.118716,Overweight_Level_I
yes,2.908757,2.696051,Sometimes,1.622827,Overweight_Level_I
yes,2.628791,2.762883,Sometimes,1.512035,Overweight_Level_I
yes,3,2.401341,Sometimes,2,Overweight_Level_I
yes,2.749629,2.298612,Sometimes,2,Overweight_Level_I
yes,1.595746,3.618722,Sometimes,1.274389,Overweight_Level_I
yes,2.885178,2.562895,Sometimes,1.017006,Overweight_Level_I
yes,2.372494,2.849848,Sometimes,1.028538,Overweight_Level_I
yes,2,2.805436,Sometimes,2.122884,Overweight_Level_I
yes,2.153639,3.715148,Sometimes,2.703337,Overweight_Level_I
yes,2.793561,3.788602,Sometimes,2.429059,Overweight_Level_I
yes,2,1.893811,Sometimes,3,Overweight_Level_I
yes,2,1.010319,Sometimes,1.319437,Overweight_Level_I
yes,2.992329,3,Sometimes,2.004908,Overweight_Level_I
yes,2.927409,3,Sometimes,2.209991,Overweight_Level_I
yes,2.706134,2.669766,Sometimes,1.979848,Overweight_Level_I
yes,2.010684,1.322087,Sometimes,2,Overweight_Level_II
yes,2,2.041558,Sometimes,2.38725,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
yes,2,2.468421,Sometimes,2,Overweight_Level_II
yes,2,2.110937,Sometimes,2.175632,Overweight_Level_II
yes,2.300408,3.071028,Sometimes,1.738959,Overweight_Level_II
yes,2.119643,3.292956,Sometimes,1.723372,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
no,2,2.283673,Sometimes,1.970622,Overweight_Level_II
yes,2.901924,1.124977,Sometimes,2.76382,Overweight_Level_II
yes,2,2.9948,Sometimes,1.290979,Overweight_Level_II
no,2.451009,3,Sometimes,2,Overweight_Level_II
no,2,2.983297,Sometimes,1.453626,Overweight_Level_II
yes,2.754646,3,Sometimes,2.957821,Overweight_Level_II
no,2.417635,3,Sometimes,1.937674,Overweight_Level_II
no,2.512719,3,Sometimes,1.131169,Overweight_Level_II
yes,1.771693,1.890213,Sometimes,2,Overweight_Level_II
yes,1.57223,1.888067,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
yes,2,2.256119,Sometimes,1.142873,Overweight_Level_II
yes,2,3,Sometimes,2.020424,Overweight_Level_II
yes,2,2.6648,Sometimes,1.810738,Overweight_Level_II
yes,2.661556,3,Sometimes,3,Overweight_Level_II
yes,2,3,Sometimes,1.18423,Overweight_Level_II
yes,2,3,Sometimes,2.879402,Overweight_Level_II
yes,3,3,Sometimes,1.699971,Overweight_Level_II
no,2.097373,2.547086,Sometimes,1.538626,Overweight_Level_II
yes,2.061461,2.812283,Sometimes,3,Overweight_Level_II
yes,1.317729,2.278652,Sometimes,2,Overweight_Level_II
yes,1.882235,1.240046,Sometimes,2,Overweight_Level_II
yes,2.951591,3,Sometimes,2.971557,Overweight_Level_II
yes,2.067817,3,Sometimes,1.082084,Overweight_Level_II
yes,2.54527,3,Sometimes,2.269564,Overweight_Level_II
yes,2,1.660768,Sometimes,2.482294,Overweight_Level_II
yes,2,2.597608,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
yes,2.694281,3,Sometimes,2.653831,Overweight_Level_II
yes,2,3,Sometimes,2,Overweight_Level_II
yes,2.821977,2.044035,Sometimes,1.954968,Overweight_Level_II
yes,2,3,Sometimes,1,Overweight_Level_II
yes,2,2.038373,Sometimes,2,Overweight_Level_II
no,2,1,Sometimes,1,Overweight_Level_II
no,2,1,Sometimes,1,Overweight_Level_II
no,2,1.474836,Sometimes,2,Overweight_Level_II
no,2.252472,3.986652,Sometimes,2,Overweight_Level_II
yes,2,2.720642,Sometimes,1.5197,Overweight_Level_II
yes,2,1.976744,Sometimes,1.628997,Overweight_Level_II
yes,3,3,Sometimes,2.981604,Overweight_Level_II
yes,2.033745,3,Sometimes,1.517225,Overweight_Level_II
yes,3,2.679724,Sometimes,1.999737,Overweight_Level_II
yes,2.595128,1.619796,Sometimes,1.642251,Overweight_Level_II
yes,2.759286,2.59257,Sometimes,2.549617,Overweight_Level_II
yes,2,1.546665,Sometimes,3,Overweight_Level_II
no,3,3.339914,Sometimes,2,Overweight_Level_II
no,3,3.884861,Sometimes,2,Overweight_Level_II
no,1.925064,2.358298,Sometimes,2.774043,Overweight_Level_II
yes,2,3,Sometimes,1.774778,Overweight_Level_II
yes,2,3,Sometimes,2.802498,Overweight_Level_II
yes,2.846981,3,Sometimes,2.87781,Overweight_Level_II
yes,2.650629,1,Sometimes,1.708083,Overweight_Level_II
yes,3,1.802305,Sometimes,2,Overweight_Level_II
yes,2,3,Sometimes,3,Overweight_Level_II
yes,2,2.7976,Sometimes,2.991671,Overweight_Level_II
yes,2.631565,2.627173,Sometimes,2.253422,Overweight_Level_II
yes,2,1,Sometimes,2,Overweight_Level_II
no,2.522399,1.032887,Sometimes,2.397653,Overweight_Level_II
no,3,3.014808,Sometimes,2,Overweight_Level_II
yes,2,2.271734,Sometimes,2.629043,Overweight_Level_II
yes,2.784471,2.122545,Sometimes,2.984153,Overweight_Level_II
no,1.650505,3,Sometimes,2,Overweight_Level_II
no,1.961347,3,Sometimes,2,Overweight_Level_II
yes,2.133955,2.902766,Sometimes,1.753464,Overweight_Level_II
yes,2.684528,1,Sometimes,1.05668,Overweight_Level_II
